RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0000010	FBBKCKAA_00593, FBBKCKAA_03905	KMPKMMIG_02645, KMPKMMIG_02883, KMPKMMIG_04305, KMPKMMIG_05181	ODAKOFOI_00969, ODAKOFOI_01815, ODAKOFOI_05318	NLBLAPBN_02053, NLBLAPBN_02270, NLBLAPBN_02936, NLBLAPBN_03082, NLBLAPBN_03216	AGNHPPFD_00811, AGNHPPFD_03910, AGNHPPFD_04135, AGNHPPFD_04212, AGNHPPFD_04628, AGNHPPFD_05102	JLCECJFP_01081, JLCECJFP_01799, JLCECJFP_02083
OG0000011	FBBKCKAA_04058, FBBKCKAA_05025, FBBKCKAA_05040	KMPKMMIG_03171, KMPKMMIG_03235, KMPKMMIG_03236, KMPKMMIG_03237	ODAKOFOI_03790, ODAKOFOI_03797, ODAKOFOI_04106	NLBLAPBN_02318, NLBLAPBN_03879	AGNHPPFD_04181, AGNHPPFD_04182, AGNHPPFD_04183, AGNHPPFD_04279	JLCECJFP_01376, JLCECJFP_01377, JLCECJFP_04720, JLCECJFP_04721, JLCECJFP_04759
OG0000012	FBBKCKAA_01150, FBBKCKAA_03683	KMPKMMIG_02478, KMPKMMIG_03332, KMPKMMIG_03933, KMPKMMIG_04549, KMPKMMIG_05059, KMPKMMIG_05510	ODAKOFOI_02578, ODAKOFOI_04045	NLBLAPBN_01657, NLBLAPBN_03097, NLBLAPBN_03098, NLBLAPBN_03169, NLBLAPBN_03170, NLBLAPBN_05555	AGNHPPFD_06083	JLCECJFP_03919
OG0000013	FBBKCKAA_03516	KMPKMMIG_00472, KMPKMMIG_00601, KMPKMMIG_02154, KMPKMMIG_02819, KMPKMMIG_05110	ODAKOFOI_00326, ODAKOFOI_01736, ODAKOFOI_01990, ODAKOFOI_05204, ODAKOFOI_05415	NLBLAPBN_00429, NLBLAPBN_01782, NLBLAPBN_02492	AGNHPPFD_00501, AGNHPPFD_00502, AGNHPPFD_01778, AGNHPPFD_02244, AGNHPPFD_02485, AGNHPPFD_02616, AGNHPPFD_03400, AGNHPPFD_05384	JLCECJFP_02435, JLCECJFP_04538
OG0000014	FBBKCKAA_03581, FBBKCKAA_04000	KMPKMMIG_00778		NLBLAPBN_00176, NLBLAPBN_00287, NLBLAPBN_00288, NLBLAPBN_02030, NLBLAPBN_04785, NLBLAPBN_04929	AGNHPPFD_05163	JLCECJFP_00185, JLCECJFP_02136, JLCECJFP_02486, JLCECJFP_02846, JLCECJFP_04875
OG0000015	FBBKCKAA_02247, FBBKCKAA_03155	KMPKMMIG_01364, KMPKMMIG_03205, KMPKMMIG_05468	ODAKOFOI_01169, ODAKOFOI_03777, ODAKOFOI_04071	NLBLAPBN_01127, NLBLAPBN_01708, NLBLAPBN_02110	AGNHPPFD_04329, AGNHPPFD_04857	JLCECJFP_01459, JLCECJFP_01600, JLCECJFP_01974
OG0000016	FBBKCKAA_01029, FBBKCKAA_01199, FBBKCKAA_01635	KMPKMMIG_01874, KMPKMMIG_04007, KMPKMMIG_05389	ODAKOFOI_00009, ODAKOFOI_00924, ODAKOFOI_05153	NLBLAPBN_03659, NLBLAPBN_03820, NLBLAPBN_04294	AGNHPPFD_02157, AGNHPPFD_04604	JLCECJFP_01267, JLCECJFP_02418, JLCECJFP_04169
OG0000017	FBBKCKAA_00273, FBBKCKAA_00274, FBBKCKAA_04293	KMPKMMIG_00532, KMPKMMIG_02050	ODAKOFOI_01985, ODAKOFOI_03230, ODAKOFOI_03516, ODAKOFOI_04448	NLBLAPBN_00362, NLBLAPBN_00363, NLBLAPBN_04677	AGNHPPFD_00430, AGNHPPFD_00795	JLCECJFP_01041, JLCECJFP_01042, JLCECJFP_03225
OG0000018	FBBKCKAA_04352, FBBKCKAA_04646, FBBKCKAA_04727	KMPKMMIG_04573, KMPKMMIG_05433	ODAKOFOI_00907, ODAKOFOI_01349, ODAKOFOI_01397, ODAKOFOI_02340, ODAKOFOI_03395, ODAKOFOI_04768, ODAKOFOI_04944	NLBLAPBN_00033, NLBLAPBN_00839		JLCECJFP_02056, JLCECJFP_02705, JLCECJFP_03876, JLCECJFP_04674
OG0000019	FBBKCKAA_00597, FBBKCKAA_00634, FBBKCKAA_04014	KMPKMMIG_00417, KMPKMMIG_04251, KMPKMMIG_05591	ODAKOFOI_00177, ODAKOFOI_00268, ODAKOFOI_01408, ODAKOFOI_05366	NLBLAPBN_01287, NLBLAPBN_01799, NLBLAPBN_02055, NLBLAPBN_03177	AGNHPPFD_01796, AGNHPPFD_04997	JLCECJFP_00855, JLCECJFP_00892, JLCECJFP_02495
OG0000020	FBBKCKAA_04649, FBBKCKAA_04733	KMPKMMIG_03826, KMPKMMIG_04528, KMPKMMIG_04568	ODAKOFOI_01800, ODAKOFOI_04764	NLBLAPBN_00834, NLBLAPBN_03750	AGNHPPFD_04472	JLCECJFP_00156, JLCECJFP_02718, JLCECJFP_02719, JLCECJFP_03873
OG0000021	FBBKCKAA_00706, FBBKCKAA_02262, FBBKCKAA_02817	KMPKMMIG_00484, KMPKMMIG_02157	ODAKOFOI_01102, ODAKOFOI_04600	NLBLAPBN_02148, NLBLAPBN_02582, NLBLAPBN_02778, NLBLAPBN_03545	AGNHPPFD_01518, AGNHPPFD_03420, AGNHPPFD_03425, AGNHPPFD_04473	JLCECJFP_01661, JLCECJFP_02985, JLCECJFP_04945
OG0000022	FBBKCKAA_01213, FBBKCKAA_02388, FBBKCKAA_03541	KMPKMMIG_00353, KMPKMMIG_02415, KMPKMMIG_04531	ODAKOFOI_01803	NLBLAPBN_01326, NLBLAPBN_02850, NLBLAPBN_02954	AGNHPPFD_00345, AGNHPPFD_01351, AGNHPPFD_03896, AGNHPPFD_04142, AGNHPPFD_05019	JLCECJFP_02290, JLCECJFP_02995, JLCECJFP_05106
OG0000023	FBBKCKAA_00480, FBBKCKAA_00504, FBBKCKAA_02213, FBBKCKAA_04353	KMPKMMIG_02492, KMPKMMIG_02851, KMPKMMIG_04601	ODAKOFOI_00483, ODAKOFOI_00791, ODAKOFOI_01522, ODAKOFOI_01987, ODAKOFOI_04228, ODAKOFOI_04349	NLBLAPBN_01373, NLBLAPBN_03458, NLBLAPBN_05102	AGNHPPFD_01440, AGNHPPFD_02299, AGNHPPFD_02979, AGNHPPFD_05609, AGNHPPFD_05611	JLCECJFP_01224
OG0000024	FBBKCKAA_00705, FBBKCKAA_01048, FBBKCKAA_01777, FBBKCKAA_04648	KMPKMMIG_02713, KMPKMMIG_02903, KMPKMMIG_04949	ODAKOFOI_00475, ODAKOFOI_03400, ODAKOFOI_04596, ODAKOFOI_04636, ODAKOFOI_05072	NLBLAPBN_02183, NLBLAPBN_02846	AGNHPPFD_01458, AGNHPPFD_01572	JLCECJFP_01152, JLCECJFP_01959, JLCECJFP_02703, JLCECJFP_03874
OG0000025	FBBKCKAA_00907, FBBKCKAA_04425	KMPKMMIG_02651, KMPKMMIG_02690, KMPKMMIG_04894	ODAKOFOI_00998, ODAKOFOI_04670	NLBLAPBN_00674, NLBLAPBN_02721, NLBLAPBN_04331, NLBLAPBN_04366	AGNHPPFD_04633, AGNHPPFD_04689, AGNHPPFD_05207, AGNHPPFD_05208	JLCECJFP_03622, JLCECJFP_03792
OG0000026	FBBKCKAA_00502, FBBKCKAA_02583, FBBKCKAA_04604, FBBKCKAA_04613, FBBKCKAA_04619	KMPKMMIG_02743, KMPKMMIG_02763, KMPKMMIG_03864, KMPKMMIG_05473	ODAKOFOI_00138, ODAKOFOI_02397	NLBLAPBN_03195, NLBLAPBN_04989	AGNHPPFD_04160	JLCECJFP_00331, JLCECJFP_00340, JLCECJFP_03562
OG0000027	FBBKCKAA_00908, FBBKCKAA_02246	KMPKMMIG_00469, KMPKMMIG_03206, KMPKMMIG_05469	ODAKOFOI_03776, ODAKOFOI_04070	NLBLAPBN_01707, NLBLAPBN_02111, NLBLAPBN_04946	AGNHPPFD_02597, AGNHPPFD_03018	JLCECJFP_01460, JLCECJFP_01972, JLCECJFP_03791
OG0000028		KMPKMMIG_00184, KMPKMMIG_00185, KMPKMMIG_00380, KMPKMMIG_00381, KMPKMMIG_05019	ODAKOFOI_01947, ODAKOFOI_03734, ODAKOFOI_03913	NLBLAPBN_02679, NLBLAPBN_02680, NLBLAPBN_05596	AGNHPPFD_03248	
OG0000029	FBBKCKAA_01009, FBBKCKAA_01571, FBBKCKAA_03561	KMPKMMIG_00924, KMPKMMIG_04840, KMPKMMIG_05154	ODAKOFOI_03765, ODAKOFOI_03822	NLBLAPBN_00130, NLBLAPBN_03452	AGNHPPFD_00148, AGNHPPFD_02620, AGNHPPFD_04214	JLCECJFP_01797, JLCECJFP_04318, JLCECJFP_04843
OG0000030	FBBKCKAA_00888, FBBKCKAA_03850, FBBKCKAA_03851	KMPKMMIG_00335, KMPKMMIG_02216, KMPKMMIG_02759	ODAKOFOI_00422, ODAKOFOI_00579, ODAKOFOI_03672	NLBLAPBN_02142, NLBLAPBN_02410, NLBLAPBN_02758	AGNHPPFD_03288, AGNHPPFD_03638	JLCECJFP_03808, JLCECJFP_04421, JLCECJFP_04422
OG0000031	FBBKCKAA_03510, FBBKCKAA_03533	KMPKMMIG_01432, KMPKMMIG_04986	ODAKOFOI_03022, ODAKOFOI_05378	NLBLAPBN_04816, NLBLAPBN_05194	AGNHPPFD_05344, AGNHPPFD_05711	JLCECJFP_04851, JLCECJFP_05095, JLCECJFP_05140
OG0000032	FBBKCKAA_00986, FBBKCKAA_03094, FBBKCKAA_04627	KMPKMMIG_00317, KMPKMMIG_02530	ODAKOFOI_03846	NLBLAPBN_01407, NLBLAPBN_02210	AGNHPPFD_01024, AGNHPPFD_01482, AGNHPPFD_03124	JLCECJFP_01533, JLCECJFP_01880, JLCECJFP_02732, JLCECJFP_02984
OG0000033	FBBKCKAA_02280		ODAKOFOI_03944	NLBLAPBN_03141, NLBLAPBN_03144, NLBLAPBN_03148	AGNHPPFD_04155	JLCECJFP_02757, JLCECJFP_02759, JLCECJFP_04824
OG0000034	FBBKCKAA_03697, FBBKCKAA_03991, FBBKCKAA_04205, FBBKCKAA_04726	KMPKMMIG_00785, KMPKMMIG_04067	ODAKOFOI_04383, ODAKOFOI_05194	NLBLAPBN_00298, NLBLAPBN_02155	AGNHPPFD_00353	JLCECJFP_00159, JLCECJFP_00741, JLCECJFP_02474, JLCECJFP_03833
OG0000035		KMPKMMIG_01174		NLBLAPBN_01556, NLBLAPBN_04947, NLBLAPBN_04952, NLBLAPBN_04953, NLBLAPBN_04961, NLBLAPBN_04966		
OG0000036	FBBKCKAA_02707, FBBKCKAA_02894	KMPKMMIG_01558, KMPKMMIG_03061, KMPKMMIG_03066	ODAKOFOI_02630, ODAKOFOI_02786	NLBLAPBN_01635, NLBLAPBN_05405	AGNHPPFD_01665, AGNHPPFD_01698, AGNHPPFD_03089, AGNHPPFD_04405, AGNHPPFD_05944	JLCECJFP_04917
OG0000037	FBBKCKAA_03859, FBBKCKAA_04621, FBBKCKAA_04622	KMPKMMIG_01274, KMPKMMIG_01281, KMPKMMIG_04063, KMPKMMIG_04065	ODAKOFOI_00702, ODAKOFOI_00703, ODAKOFOI_00710, ODAKOFOI_00713, ODAKOFOI_00716, ODAKOFOI_01810, ODAKOFOI_01811	NLBLAPBN_02044, NLBLAPBN_02045	AGNHPPFD_02227	JLCECJFP_00328, JLCECJFP_00329, JLCECJFP_04427
OG0000038	FBBKCKAA_01714, FBBKCKAA_01715	KMPKMMIG_04351, KMPKMMIG_04352	ODAKOFOI_01011, ODAKOFOI_01012	NLBLAPBN_03011, NLBLAPBN_04375, NLBLAPBN_04376	AGNHPPFD_03007, AGNHPPFD_04698, AGNHPPFD_04699	JLCECJFP_01349, JLCECJFP_01350
OG0000039	FBBKCKAA_04381	KMPKMMIG_00465, KMPKMMIG_03712		NLBLAPBN_01063, NLBLAPBN_03366, NLBLAPBN_04957	AGNHPPFD_01505, AGNHPPFD_01507, AGNHPPFD_04014	JLCECJFP_01978, JLCECJFP_04123
OG0000040	FBBKCKAA_02775, FBBKCKAA_04370, FBBKCKAA_04468	KMPKMMIG_05791		NLBLAPBN_01433, NLBLAPBN_03436, NLBLAPBN_03510	AGNHPPFD_02629, AGNHPPFD_03741, AGNHPPFD_04224	JLCECJFP_01809, JLCECJFP_02301, JLCECJFP_04739
OG0000041	FBBKCKAA_04295, FBBKCKAA_04296	KMPKMMIG_05654, KMPKMMIG_05655	ODAKOFOI_04317, ODAKOFOI_04318	NLBLAPBN_01336, NLBLAPBN_01337	AGNHPPFD_01361, AGNHPPFD_01362, AGNHPPFD_05390, AGNHPPFD_05391	JLCECJFP_03222, JLCECJFP_03223
OG0000042	FBBKCKAA_00878, FBBKCKAA_01802	KMPKMMIG_01406, KMPKMMIG_01868	ODAKOFOI_00937, ODAKOFOI_02380, ODAKOFOI_02448, ODAKOFOI_05158	NLBLAPBN_01075, NLBLAPBN_03814, NLBLAPBN_04307		JLCECJFP_02219
OG0000043	FBBKCKAA_03062, FBBKCKAA_04708	KMPKMMIG_04838, KMPKMMIG_05822	ODAKOFOI_00497, ODAKOFOI_00800, ODAKOFOI_04323	NLBLAPBN_01344, NLBLAPBN_03445	AGNHPPFD_01370, AGNHPPFD_03524	JLCECJFP_02048, JLCECJFP_03892, JLCECJFP_05193
OG0000044	FBBKCKAA_00794, FBBKCKAA_04371	KMPKMMIG_00195, KMPKMMIG_01967	ODAKOFOI_01941, ODAKOFOI_05021	NLBLAPBN_01434, NLBLAPBN_02889, NLBLAPBN_05585	AGNHPPFD_03700, AGNHPPFD_04223, AGNHPPFD_06132	JLCECJFP_00425, JLCECJFP_01810, JLCECJFP_05111
OG0000045	FBBKCKAA_00921	KMPKMMIG_00303, KMPKMMIG_02388, KMPKMMIG_05614	ODAKOFOI_00403, ODAKOFOI_00802	NLBLAPBN_02100, NLBLAPBN_02377, NLBLAPBN_02516	AGNHPPFD_02650, AGNHPPFD_03142, AGNHPPFD_03480, AGNHPPFD_03756	JLCECJFP_03774
OG0000046	FBBKCKAA_03360, FBBKCKAA_03365	KMPKMMIG_02888, KMPKMMIG_05733	ODAKOFOI_00462, ODAKOFOI_04648	NLBLAPBN_03558, NLBLAPBN_03729	AGNHPPFD_03570, AGNHPPFD_03668	JLCECJFP_04000, JLCECJFP_04531, JLCECJFP_04536, JLCECJFP_04582
OG0000047	FBBKCKAA_00931, FBBKCKAA_02134, FBBKCKAA_03335	KMPKMMIG_00022, KMPKMMIG_00440, KMPKMMIG_00511, KMPKMMIG_03998	ODAKOFOI_00652, ODAKOFOI_00911	NLBLAPBN_00053, NLBLAPBN_02157	AGNHPPFD_00057, AGNHPPFD_05005	JLCECJFP_02667, JLCECJFP_03860
OG0000048	FBBKCKAA_04720	KMPKMMIG_00443, KMPKMMIG_01318	ODAKOFOI_00649, ODAKOFOI_01125	NLBLAPBN_04497	AGNHPPFD_02456, AGNHPPFD_04815	JLCECJFP_03024, JLCECJFP_05162
OG0000049						JLCECJFP_04811, JLCECJFP_04812, JLCECJFP_04813, JLCECJFP_04814, JLCECJFP_04815, JLCECJFP_04817, JLCECJFP_04819, JLCECJFP_04820, JLCECJFP_05292, JLCECJFP_05294
OG0000050	FBBKCKAA_03554	KMPKMMIG_00148, KMPKMMIG_01397	ODAKOFOI_01980, ODAKOFOI_04359	NLBLAPBN_01918, NLBLAPBN_02079, NLBLAPBN_04619, NLBLAPBN_05641	AGNHPPFD_02373, AGNHPPFD_04199, AGNHPPFD_04898, AGNHPPFD_06190	JLCECJFP_04525
OG0000051	FBBKCKAA_01884	KMPKMMIG_00715, KMPKMMIG_00871		NLBLAPBN_02639, NLBLAPBN_02640	AGNHPPFD_00221, AGNHPPFD_00265, AGNHPPFD_03221	JLCECJFP_03782, JLCECJFP_04064, JLCECJFP_05024
OG0000052	FBBKCKAA_04136, FBBKCKAA_04304	KMPKMMIG_03397	ODAKOFOI_03012	NLBLAPBN_03830, NLBLAPBN_04826	AGNHPPFD_03687	JLCECJFP_03212, JLCECJFP_04384
OG0000053			ODAKOFOI_04544, ODAKOFOI_04545, ODAKOFOI_04546, ODAKOFOI_04547, ODAKOFOI_04551, ODAKOFOI_04552, ODAKOFOI_04553, ODAKOFOI_04555	NLBLAPBN_00983, NLBLAPBN_00987, NLBLAPBN_00988, NLBLAPBN_00989, NLBLAPBN_00990, NLBLAPBN_00991		
OG0000054	FBBKCKAA_00288, FBBKCKAA_00290	KMPKMMIG_00546, KMPKMMIG_00548	ODAKOFOI_04462, ODAKOFOI_04464	NLBLAPBN_00378, NLBLAPBN_00380	AGNHPPFD_00444, AGNHPPFD_00446	JLCECJFP_01057, JLCECJFP_01059
OG0000055	FBBKCKAA_03933, FBBKCKAA_04363	KMPKMMIG_00508, KMPKMMIG_01231, KMPKMMIG_02757, KMPKMMIG_05455	ODAKOFOI_00641, ODAKOFOI_04328, ODAKOFOI_05018, ODAKOFOI_05180	NLBLAPBN_01349, NLBLAPBN_02218	AGNHPPFD_01376	JLCECJFP_02620
OG0000056	FBBKCKAA_03060	KMPKMMIG_01605			AGNHPPFD_03522	JLCECJFP_02982, JLCECJFP_03036, JLCECJFP_03925, JLCECJFP_04481, JLCECJFP_05125, JLCECJFP_05303
OG0000057	FBBKCKAA_00476	KMPKMMIG_04902	ODAKOFOI_04931	NLBLAPBN_02186, NLBLAPBN_02359, NLBLAPBN_02710, NLBLAPBN_03518, NLBLAPBN_04231	AGNHPPFD_02674	
OG0000058	FBBKCKAA_02160, FBBKCKAA_02164	KMPKMMIG_01799, KMPKMMIG_01803	ODAKOFOI_02220, ODAKOFOI_02224, ODAKOFOI_05419	NLBLAPBN_04106, NLBLAPBN_04110	AGNHPPFD_01970, AGNHPPFD_01974	JLCECJFP_04766, JLCECJFP_04770
OG0000059	FBBKCKAA_02402, FBBKCKAA_04731	KMPKMMIG_02395, KMPKMMIG_04529	ODAKOFOI_00500, ODAKOFOI_00503, ODAKOFOI_00683, ODAKOFOI_01801	NLBLAPBN_01444, NLBLAPBN_03751	AGNHPPFD_01527, AGNHPPFD_01569	JLCECJFP_00157, JLCECJFP_01157, JLCECJFP_01917
OG0000060	FBBKCKAA_00159, FBBKCKAA_00160	KMPKMMIG_05506, KMPKMMIG_05507	ODAKOFOI_01042, ODAKOFOI_01043	NLBLAPBN_04427, NLBLAPBN_04428	AGNHPPFD_04733, AGNHPPFD_04734	JLCECJFP_00522, JLCECJFP_00523
OG0000061	FBBKCKAA_01363, FBBKCKAA_02483	KMPKMMIG_00038, KMPKMMIG_00436, KMPKMMIG_00863	ODAKOFOI_02080, ODAKOFOI_03866	NLBLAPBN_00069, NLBLAPBN_00199	AGNHPPFD_00073, AGNHPPFD_00238	JLCECJFP_00247, JLCECJFP_03977
OG0000062	FBBKCKAA_00600, FBBKCKAA_04347, FBBKCKAA_04362	KMPKMMIG_00456, KMPKMMIG_02937, KMPKMMIG_05456	ODAKOFOI_04329, ODAKOFOI_04827, ODAKOFOI_05210	NLBLAPBN_01350, NLBLAPBN_02895	AGNHPPFD_01377, AGNHPPFD_05513	JLCECJFP_01801
OG0000063	FBBKCKAA_03333	KMPKMMIG_00442, KMPKMMIG_00510, KMPKMMIG_05157, KMPKMMIG_05250, KMPKMMIG_05610	ODAKOFOI_00650, ODAKOFOI_03482, ODAKOFOI_04900	NLBLAPBN_02159, NLBLAPBN_02589	AGNHPPFD_01826	JLCECJFP_03862
OG0000064	FBBKCKAA_01706, FBBKCKAA_04213	KMPKMMIG_03724, KMPKMMIG_05599	ODAKOFOI_01598, ODAKOFOI_03410	NLBLAPBN_03355, NLBLAPBN_04074	AGNHPPFD_01586, AGNHPPFD_04005	JLCECJFP_01085, JLCECJFP_01340
