Treatment;Genotype;Plate;Rep;Label;Area_px;Area_mm2;Area_cm2;Carbon;Concentration;Time
Glc 1 mM;WT;16;64;1mM GLU (5).JPG;18662;299,0225925;2,990225925;Glc;1;48 h
Glc 1 mM;gacA;17;65;1mM GLU (4).JPG;6686;107,1302676;1,071302676;Glc;1;48 h
Glc 1 mM;fleQ;17;66;1mM GLU (4).JPG;14040;224,9639481;2,249639481;Glc;1;48 h
Glc 1 mM;iol;17;67;1mM GLU (4).JPG;12121;194,2156706;1,942156706;Glc;1;48 h
Glc 1 mM;WT;17;68;1mM GLU (4).JPG;141660;2269,828553;22,69828553;Glc;1;48 h
Glc 1 mM;gacA;18;69;1mM GLU (3).JPG;4758;76,23778241;0,762377824;Glc;1;48 h
Glc 1 mM;fleQ;18;70;1mM GLU (3).JPG;12430;199,1668002;1,991668002;Glc;1;48 h
Glc 1 mM;iol;18;71;1mM GLU (3).JPG;164509;2635,939753;26,35939753;Glc;1;48 h
Glc 1 mM;WT;18;72;1mM GLU (3).JPG;11257;180,3717353;1,803717353;Glc;1;48 h
Glc 1 mM;gacA;19;73;1mM GLU (2).JPG;5768;92,42108636;0,924210864;Glc;1;48 h
Glc 1 mM;fleQ;19;74;1mM GLU (2).JPG;57975;928,9376702;9,289376702;Glc;1;48 h
Glc 1 mM;iol;19;75;1mM GLU (2).JPG;145442;2330,427816;23,30427816;Glc;1;48 h
Glc 1 mM;WT;19;76;1mM GLU (2).JPG;221430;3547,989104;35,47989104;Glc;1;48 h
Glc 1 mM;gacA;20;77;1mM GLU (1).JPG;6806;109,0530364;1,090530364;Glc;1;48 h
Glc 1 mM;fleQ;20;78;1mM GLU (1).JPG;74225;1189,31261;11,8931261;Glc;1;48 h
Glc 1 mM;iol;20;79;1mM GLU (1).JPG;18371;294,3598782;2,943598782;Glc;1;48 h
Glc 1 mM;WT;20;80;1mM GLU (1).JPG;18858;302,1631149;3,021631149;Glc;1;48 h
Ino 1 mM;gacA;21;81;1mM INO (20).JPG;2282;36,5646531;0,365646531;Ino;1;48 h
Ino 1 mM;fleQ;21;82;1mM INO (20).JPG;13701;219,5321263;2,195321263;Ino;1;48 h
Ino 1 mM;iol;21;83;1mM INO (20).JPG;14610;234,0970998;2,340970998;Ino;1;48 h
Ino 1 mM;WT;21;84;1mM INO (20).JPG;89771;1438,407307;14,38407307;Ino;1;48 h
Ino 1 mM;gacA;22;85;1mM INO (19).JPG;5934;95,08091652;0,950809165;Ino;1;48 h
Ino 1 mM;fleQ;22;86;1mM INO (19).JPG;13474;215,8948886;2,158948886;Ino;1;48 h
Ino 1 mM;iol;22;87;1mM INO (19).JPG;7371;118,1060727;1,181060727;Ino;1;48 h
Ino 1 mM;WT;22;88;1mM INO (19).JPG;142787;2287,886557;22,87886557;Ino;1;48 h
Ino 1 mM;gacA;23;89;1mM INO (18).JPG;3852;61,72087806;0,617208781;Ino;1;48 h
Ino 1 mM;fleQ;23;90;1mM INO (18).JPG;13108;210,0304438;2,100304438;Ino;1;48 h
Ino 1 mM;iol;23;91;1mM INO (18).JPG;10693;171,334722;1,71334722;Ino;1;48 h
Ino 1 mM;WT;23;92;1mM INO (18).JPG;310856;4980,868451;49,80868451;Ino;1;48 h
Ino 1 mM;gacA;24;93;1mM INO (17).JPG;3534;56,62554078;0,566255408;Ino;1;48 h
Ino 1 mM;fleQ;24;94;1mM INO (17).JPG;18463;295,834001;2,95834001;Ino;1;48 h
Ino 1 mM;iol;24;95;1mM INO (17).JPG;11076;177,471559;1,77471559;Ino;1;48 h
Ino 1 mM;WT;24;96;1mM INO (17).JPG;125857;2016,615927;20,16615927;Ino;1;48 h
Ino 1 mM;gacA;25;97;1mM INO (16).JPG;5694;91,23537895;0,912353789;Ino;1;48 h
Ino 1 mM;fleQ;25;98;1mM INO (16).JPG;23347;374,0906906;3,740906906;Ino;1;48 h
Ino 1 mM;iol;25;99;1mM INO (16).JPG;8515;136,4364685;1,364364685;Ino;1;48 h
Ino 1 mM;WT;25;100;1mM INO (16).JPG;135016;2163,371255;21,63371255;Ino;1;48 h
Ino 1 mM;gacA;26;101;1mM INO (15).JPG;5171;82,85531165;0,828553116;Ino;1;48 h
Ino 1 mM;fleQ;26;102;1mM INO (15).JPG;9918;158,9168402;1,589168402;Ino;1;48 h
Ino 1 mM;iol;26;103;1mM INO (15).JPG;6499;104,1339529;1,041339529;Ino;1;48 h
Ino 1 mM;WT;26;104;1mM INO (15).JPG;245099;3927,239224;39,27239224;Ino;1;48 h
Ino 1 mM;gacA;27;105;1mM INO (14).JPG;7338;117,5773113;1,175773113;Ino;1;48 h
Ino 1 mM;fleQ;27;106;1mM INO (14).JPG;16039;256,9940715;2,569940715;Ino;1;48 h
Ino 1 mM;iol;27;107;1mM INO (14).JPG;6367;102,0189072;1,020189072;Ino;1;48 h
Ino 1 mM;WT;27;108;1mM INO (14).JPG;89019;1426,357955;14,26357955;Ino;1;48 h
Ino 1 mM;gacA;28;109;1mM INO (13).JPG;5312;85,11456497;0,85114565;Ino;1;48 h
Ino 1 mM;fleQ;28;110;1mM INO (13).JPG;22557;361,4324627;3,614324627;Ino;1;48 h
Ino 1 mM;iol;28;111;1mM INO (13).JPG;10383;166,3675693;1,663675693;Ino;1;48 h
Ino 1 mM;WT;28;112;1mM INO (13).JPG;125107;2004,598622;20,04598622;Ino;1;48 h
Ino 1 mM;gacA;29;113;1mM INO (12).JPG;6335;101,5061689;1,015061689;Ino;1;48 h
Ino 1 mM;fleQ;29;114;1mM INO (12).JPG;16346;261,9131549;2,619131549;Ino;1;48 h
Ino 1 mM;iol;29;115;1mM INO (12).JPG;6708;107,4827752;1,074827752;Ino;1;48 h
Ino 1 mM;WT;29;116;1mM INO (12).JPG;195699;3135,699407;31,35699407;Ino;1;48 h
Ino 1 mM;gacA;30;117;1mM INO (11).JPG;5368;86,01185707;0,860118571;Ino;1;48 h
Ino 1 mM;fleQ;30;118;1mM INO (11).JPG;12187;195,2731934;1,952731934;Ino;1;48 h
Ino 1 mM;iol;30;119;1mM INO (11).JPG;7046;112,8985739;1,128985739;Ino;1;48 h
Ino 1 mM;WT;30;120;1mM INO (11).JPG;83987;1345,729851;13,45729851;Ino;1;48 h
Ino 1 mM;gacA;31;121;1mM INO (10).JPG;4788;76,7184746;0,767184746;Ino;1;48 h
Ino 1 mM;fleQ;31;122;1mM INO (10).JPG;18134;290,5624099;2,905624099;Ino;1;48 h
Ino 1 mM;iol;31;123;1mM INO (10).JPG;5295;84,84217273;0,848421727;Ino;1;48 h
Ino 1 mM;WT;31;124;1mM INO (10).JPG;70187;1124,61144;11,2461144;Ino;1;48 h
Ino 1 mM;gacA;32;125;1mM INO (9).JPG;5685;91,09117129;0,910911713;Ino;1;48 h
Ino 1 mM;fleQ;32;126;1mM INO (9).JPG;25281;405,0793142;4,050793142;Ino;1;48 h
Ino 1 mM;iol;32;127;1mM INO (9).JPG;23679;379,4103509;3,794103509;Ino;1;48 h
Ino 1 mM;WT;32;128;1mM INO (9).JPG;198922;3187,341772;31,87341772;Ino;1;48 h
Ino 1 mM;gacA;33;129;1mM INO (8).JPG;5493;88,01474123;0,880147412;Ino;1;48 h
Ino 1 mM;fleQ;33;130;1mM INO (8).JPG;19150;306,8418523;3,068418523;Ino;1;48 h
Ino 1 mM;iol;33;131;1mM INO (8).JPG;7155;114,6450889;1,146450889;Ino;1;48 h
Ino 1 mM;WT;33;132;1mM INO (8).JPG;270227;4329,867008;43,29867008;Ino;1;48 h
Ino 1 mM;gacA;34;133;1mM INO (7).JPG;5408;86,65278;0,8665278;Ino;1;48 h
Ino 1 mM;fleQ;34;134;1mM INO (7).JPG;16905;270,8700529;2,708700529;Ino;1;48 h
Ino 1 mM;iol;34;135;1mM INO (7).JPG;9882;158,3400096;1,583400096;Ino;1;48 h
Ino 1 mM;WT;34;136;1mM INO (7).JPG;209381;3354,927095;33,54927095;Ino;1;48 h
Ino 1 mM;gacA;35;137;1mM INO (6).JPG;7805;125,0600865;1,250600865;Ino;1;48 h
Ino 1 mM;fleQ;35;138;1mM INO (6).JPG;22682;363,4353469;3,634353469;Ino;1;48 h
Ino 1 mM;iol;35;139;1mM INO (6).JPG;7570;121,2946643;1,212946643;Ino;1;48 h
Ino 1 mM;WT;35;140;1mM INO (6).JPG;191783;3072,953052;30,72953052;Ino;1;48 h
Ino 1 mM;gacA;36;141;1mM INO (5).JPG;3921;62,82647012;0,628264701;Ino;1;48 h
Ino 1 mM;fleQ;36;142;1mM INO (5).JPG;23284;373,081237;3,73081237;Ino;1;48 h
Ino 1 mM;iol;36;143;1mM INO (5).JPG;9345;149,7356193;1,497356193;Ino;1;48 h
Ino 1 mM;WT;36;144;1mM INO (5).JPG;307842;4932,574908;49,32574908;Ino;1;48 h
Ino 1 mM;gacA;37;145;1mM INO (4).JPG;5933;95,06489345;0,950648934;Ino;1;48 h
Ino 1 mM;fleQ;37;146;1mM INO (4).JPG;11669;186,9732415;1,869732415;Ino;1;48 h
Ino 1 mM;iol;37;147;1mM INO (4).JPG;9320;149,3350425;1,493350425;Ino;1;48 h
Ino 1 mM;WT;37;148;1mM INO (4).JPG;299721;4802,45153;48,0245153;Ino;1;48 h
Ino 1 mM;gacA;38;149;1mM INO (3).JPG;2783;44,59221279;0,445922128;Ino;1;48 h
Ino 1 mM;fleQ;38;150;1mM INO (3).JPG;10798;173,0171447;1,730171447;Ino;1;48 h
Ino 1 mM;iol;38;151;1mM INO (3).JPG;10364;166,0631309;1,660631309;Ino;1;48 h
Ino 1 mM;WT;38;152;1mM INO (3).JPG;233775;3745,793943;37,45793943;Ino;1;48 h
Ino 1 mM;gacA;39;153;1mM INO (2).JPG;6181;99,03861561;0,990386156;Ino;1;48 h
Ino 1 mM;fleQ;39;154;1mM INO (2).JPG;35797;573,5779523;5,735779523;Ino;1;48 h
Ino 1 mM;iol;39;155;1mM INO (2).JPG;3946;63,22704695;0,632270469;Ino;1;48 h
Ino 1 mM;WT;39;156;1mM INO (2).JPG;302113;4840,778721;48,40778721;Ino;1;48 h
Ino 1 mM;gacA;40;157;1mM INO (1).JPG;5507;88,23906425;0,882390643;Ino;1;48 h
Ino 1 mM;fleQ;40;158;1mM INO (1).JPG;13766;220,573626;2,20573626;Ino;1;48 h
Ino 1 mM;iol;40;159;1mM INO (1).JPG;6115;97,98109277;0,979810928;Ino;1;48 h
Ino 1 mM;WT;40;160;1mM INO (1).JPG;85459;1369,315815;13,69315815;Ino;1;48 h
Ino 10 mM;gacA;41;161;10mM INO (20).JPG;11022;176,6063131;1,766063131;Ino;10;48 h
Ino 10 mM;fleQ;41;162;10mM INO (20).JPG;28799;461,4484858;4,614484858;Ino;10;48 h
Ino 10 mM;iol;41;163;10mM INO (20).JPG;8807;141,1152059;1,411152059;Ino;10;48 h
Ino 10 mM;WT;41;164;10mM INO (20).JPG;91970;1473,642045;14,73642045;Ino;10;48 h
Ino 10 mM;gacA;42;165;10mM INO (19).JPG;9909;158,7726326;1,587726326;Ino;10;48 h
Ino 10 mM;fleQ;42;166;10mM INO (19).JPG;83837;1343,32639;13,4332639;Ino;10;48 h
Ino 10 mM;iol;42;167;10mM INO (19).JPG;8883;142,3329595;1,423329595;Ino;10;48 h
Ino 10 mM;WT;42;168;10mM INO (19).JPG;100502;1610,350905;16,10350905;Ino;10;48 h
Ino 10 mM;gacA;43;169;10mM INO (18).JPG;4992;79,98718154;0,799871815;Ino;10;48 h
Ino 10 mM;fleQ;43;170;10mM INO (18).JPG;13876;222,3361641;2,223361641;Ino;10;48 h
Ino 10 mM;iol;43;171;10mM INO (18).JPG;7692;123,2494793;1,232494793;Ino;10;48 h
Ino 10 mM;WT;43;172;10mM INO (18).JPG;368556;5905,399776;59,05399776;Ino;10;48 h
Ino 10 mM;gacA;44;173;10mM INO (17).JPG;10246;164,1724083;1,641724083;Ino;10;48 h
Ino 10 mM;fleQ;44;174;10mM INO (17).JPG;147725;2367,008492;23,67008492;Ino;10;48 h
Ino 10 mM;iol;44;175;10mM INO (17).JPG;12247;196,2345778;1,962345778;Ino;10;48 h
Ino 10 mM;WT;44;176;10mM INO (17).JPG;327738;5251,369973;52,51369973;Ino;10;48 h
Ino 10 mM;gacA;45;177;10mM INO (16).JPG;5585;89,48886396;0,89488864;Ino;10;48 h
Ino 10 mM;fleQ;45;178;10mM INO (16).JPG;12410;198,8463387;1,988463387;Ino;10;48 h
Ino 10 mM;iol;45;179;10mM INO (16).JPG;5967;95,60967794;0,956096779;Ino;10;48 h
Ino 10 mM;WT;45;180;10mM INO (16).JPG;190237;3048,181381;30,48181381;Ino;10;48 h
Ino 10 mM;gacA;46;181;10mM INO (15).JPG;5632;90,24194841;0,902419484;Ino;10;48 h
Ino 10 mM;fleQ;46;182;10mM INO (15).JPG;17694;283,5122577;2,835122577;Ino;10;48 h
Ino 10 mM;iol;46;183;10mM INO (15).JPG;6721;107,6910751;1,076910751;Ino;10;48 h
Ino 10 mM;WT;46;184;10mM INO (15).JPG;311882;4997,308124;49,97308124;Ino;10;48 h
Ino 10 mM;gacA;47;185;10mM INO (14).JPG;4173;66,86428457;0,668642846;Ino;10;48 h
Ino 10 mM;fleQ;47;186;10mM INO (14).JPG;14416;230,9886236;2,309886236;Ino;10;48 h
Ino 10 mM;iol;47;187;10mM INO (14).JPG;5448;87,29370293;0,872937029;Ino;10;48 h
Ino 10 mM;WT;47;188;10mM INO (14).JPG;263892;4228,36084;42,2836084;Ino;10;48 h
Ino 10 mM;gacA;48;189;10mM INO (13).JPG;5472;87,67825669;0,876782567;Ino;10;48 h
Ino 10 mM;fleQ;48;190;10mM INO (13).JPG;17819;285,5151418;2,855151418;Ino;10;48 h
Ino 10 mM;iol;48;191;10mM INO (13).JPG;13204;211,5686589;2,115686589;Ino;10;48 h
Ino 10 mM;WT;48;192;10mM INO (13).JPG;316178;5066,143246;50,66143246;Ino;10;48 h
Ino 10 mM;gacA;49;193;10mM INO (12).JPG;5276;84,53773434;0,845377343;Ino;10;48 h
Ino 10 mM;fleQ;49;194;10mM INO (12).JPG;45422;727,800032;7,27800032;Ino;10;48 h
Ino 10 mM;iol;49;195;10mM INO (12).JPG;7683;123,1052716;1,231052716;Ino;10;48 h
Ino 10 mM;WT;49;196;10mM INO (12).JPG;146478;2347,02772;23,4702772;Ino;10;48 h
Ino 10 mM;gacA;50;197;10mM INO (11).JPG;11155;178,7373818;1,787373818;Ino;10;48 h
Ino 10 mM;fleQ;50;198;10mM INO (11).JPG;127482;2042,653421;20,42653421;Ino;10;48 h
Ino 10 mM;iol;50;199;10mM INO (11).JPG;158558;2540,586444;25,40586444;Ino;10;48 h
Ino 10 mM;WT;50;200;10mM INO (11).JPG;420315;6734,738023;67,34738023;Ino;10;48 h
Ino 10 mM;gacA;51;201;10mM INO (10).JPG;4436;71,07835283;0,710783528;Ino;10;48 h
Ino 10 mM;fleQ;51;202;10mM INO (10).JPG;18309;293,3664477;2,933664477;Ino;10;48 h
Ino 10 mM;iol;51;203;10mM INO (10).JPG;5783;92,66143246;0,926614325;Ino;10;48 h
Ino 10 mM;WT;51;204;10mM INO (10).JPG;188322;3017,497196;30,17497196;Ino;10;48 h
Ino 10 mM;gacA;52;205;10mM INO (9).JPG;5273;84,48966512;0,844896651;Ino;10;48 h
Ino 10 mM;fleQ;52;206;10mM INO (9).JPG;92555;1483,015542;14,83015542;Ino;10;48 h
Ino 10 mM;iol;52;207;10mM INO (9).JPG;16385;262,5380548;2,625380548;Ino;10;48 h
Ino 10 mM;WT;52;208;10mM INO (9).JPG;131049;2099,807723;20,99807723;Ino;10;48 h
Ino 10 mM;gacA;53;209;10mM INO (8).JPG;3068;49,15878866;0,491587887;Ino;10;48 h
Ino 10 mM;fleQ;53;210;10mM INO (8).JPG;5052;80,94856593;0,809485659;Ino;10;48 h
Ino 10 mM;iol;53;211;10mM INO (8).JPG;6920;110,8796667;1,108796667;Ino;10;48 h
Ino 10 mM;WT;53;212;10mM INO (8).JPG;79946;1280,980612;12,80980612;Ino;10;48 h
Ino 10 mM;gacA;54;213;10mM INO (7).JPG;12945;207,4186829;2,074186829;Ino;10;48 h
Ino 10 mM;fleQ;54;214;10mM INO (7).JPG;30580;489,9855792;4,899855792;Ino;10;48 h
Ino 10 mM;iol;54;215;10mM INO (7).JPG;5206;83,41611921;0,834161192;Ino;10;48 h
Ino 10 mM;WT;54;216;10mM INO (7).JPG;382614;6130,652139;61,30652139;Ino;10;48 h
Ino 10 mM;gacA;55;217;10mM INO (6).JPG;3611;57,85931742;0,578593174;Ino;10;48 h
Ino 10 mM;fleQ;55;218;10mM INO (6).JPG;21606;346,1945201;3,461945201;Ino;10;48 h
Ino 10 mM;iol;55;219;10mM INO (6).JPG;5865;93,97532447;0,939753245;Ino;10;48 h
Ino 10 mM;WT;55;220;10mM INO (6).JPG;294858;4724,531325;47,24531325;Ino;10;48 h
Ino 10 mM;gacA;56;221;10mM INO (5).JPG;6619;106,0567217;1,060567217;Ino;10;48 h
Ino 10 mM;fleQ;56;222;10mM INO (5).JPG;31997;512,690274;5,12690274;Ino;10;48 h
Ino 10 mM;iol;56;223;10mM INO (5).JPG;7930;127,0629707;1,270629707;Ino;10;48 h
Ino 10 mM;WT;56;224;10mM INO (5).JPG;218088;3494,439994;34,94439994;Ino;10;48 h
Ino 10 mM;gacA;57;225;10mM INO (4).JPG;2826;45,28120494;0,452812049;Ino;10;48 h
Ino 10 mM;fleQ;57;226;10mM INO (4).JPG;21314;341,5157827;3,415157827;Ino;10;48 h
Ino 10 mM;iol;57;227;10mM INO (4).JPG;9123;146,178497;1,46178497;Ino;10;48 h
Ino 10 mM;WT;57;228;10mM INO (4).JPG;285878;4580,644128;45,80644128;Ino;10;48 h
Ino 10 mM;gacA;58;229;10mM INO (3).JPG;11995;192,1967633;1,921967633;Ino;10;48 h
Ino 10 mM;fleQ;58;230;10mM INO (3).JPG;20614;330,2996315;3,302996315;Ino;10;48 h
Ino 10 mM;iol;58;231;10mM INO (3).JPG;5157;82,63098862;0,826309886;Ino;10;48 h
Ino 10 mM;WT;58;232;10mM INO (3).JPG;59648;955,7442718;9,557442718;Ino;10;48 h
Ino 10 mM;gacA;59;233;10mM INO (2).JPG;7464;119,5962186;1,195962186;Ino;10;48 h
Ino 10 mM;fleQ;59;234;10mM INO (2).JPG;182601;2925,829194;29,25829194;Ino;10;48 h
Ino 10 mM;iol;59;235;10mM INO (2).JPG;5665;90,77070982;0,907707098;Ino;10;48 h
Ino 10 mM;WT;59;236;10mM INO (2).JPG;227224;3640,826791;36,40826791;Ino;10;48 h
Ino 10 mM;gacA;60;237;10mM INO (1).JPG;3910;62,65021631;0,626502163;Ino;10;48 h
Ino 10 mM;fleQ;60;238;10mM INO (1).JPG;68768;1101,8747;11,018747;Ino;10;48 h
Ino 10 mM;iol;60;239;10mM INO (1).JPG;9745;156,1448486;1,561448486;Ino;10;48 h
Ino 10 mM;WT;60;240;10mM INO (1).JPG;127164;2037,558084;20,37558084;Ino;10;48 h
Control;gacA;61;241;Control (20).JPG;5573;89,29658709;0,892965871;Control;0;48 h
Control;fleQ;61;242;Control (20).JPG;10044;160,9357475;1,609357475;Control;0;48 h
Control;iol;61;243;Control (20).JPG;177630;2846,178497;28,46178497;Control;0;48 h
Control;WT;61;244;Control (20).JPG;220122;3527,030925;35,27030925;Control;0;48 h
Control;gacA;62;245;Control (19).JPG;4156;66,59189232;0,665918923;Control;0;48 h
Control;fleQ;62;246;Control (19).JPG;17312;277,3914437;2,773914437;Control;0;48 h
Control;iol;62;247;Control (19).JPG;336644;5394,071463;53,94071463;Control;0;48 h
Control;WT;62;248;Control (19).JPG;397038;6361,768947;63,61768947;Control;0;48 h
Control;gacA;63;249;Control (18).JPG;5053;80,96458901;0,80964589;Control;0;48 h
Control;fleQ;63;250;Control (18).JPG;16404;262,8424932;2,628424932;Control;0;48 h
Control;iol;63;251;Control (18).JPG;191549;3069,203653;30,69203653;Control;0;48 h
Control;WT;63;252;Control (18).JPG;324058;5192,405063;51,92405063;Control;0;48 h
Control;gacA;64;253;Control (17).JPG;6301;100,9613844;1,009613844;Control;0;48 h
Control;fleQ;64;254;Control (17).JPG;9555;153,1004647;1,531004647;Control;0;48 h
Control;iol;64;255;Control (17).JPG;111868;1792,469156;17,92469156;Control;0;48 h
Control;WT;64;256;Control (17).JPG;159643;2557,971479;25,57971479;Control;0;48 h
Control;gacA;65;257;Control (16).JPG;6564;105,1754527;1,051754527;Control;0;48 h
Control;fleQ;65;258;Control (16).JPG;9248;148,1813812;1,481813812;Control;0;48 h
Control;iol;65;259;Control (16).JPG;415707;6660,903701;66,60903701;Control;0;48 h
Control;WT;65;260;Control (16).JPG;301276;4827,367409;48,27367409;Control;0;48 h
Control;gacA;66;261;Control (15).JPG;3013;48,27751963;0,482775196;Control;0;48 h
